firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Jack,Kennedy,26,15,0,1,197,2010-06-30,Spokane Stallions,24,Montgomery Music,31
George,Bush,2,1,0,1,13,2010-06-30,Spokane Stallions,24,Montgomery Music,31
Dubya,Bush,39,17,0,1,184,2010-03-24,Richmond Roustabouts,11,Yonkers Yellowjackets,0
Dubya,Bush,31,12,0,1,93,2010-03-31,Richmond Roustabouts,16,Shreveport Seamen,28
Barry,Obama,5,3,0,1,54,2010-03-31,Richmond Roustabouts,16,Shreveport Seamen,28
Dubya,Bush,18,7,0,0,63,2010-04-07,Richmond Roustabouts,31,San Bernardino Stalkers,23
Barry,Obama,11,8,0,3,148,2010-04-07,Richmond Roustabouts,31,San Bernardino Stalkers,23
Dubya,Bush,33,13,0,1,119,2010-04-14,Richmond Roustabouts,15,Tacoma Touchdown-Scorers,17
Dubya,Bush,28,10,0,1,97,2010-04-21,Richmond Roustabouts,9,Glendale Centers,37
Dubya,Bush,30,16,0,2,143,2010-04-28,Richmond Roustabouts,21,Des Moines Desperadoes,3
Dubya,Bush,26,12,0,0,103,2010-05-05,Richmond Roustabouts,4,Augusta Autocrats,0
Dubya,Bush,35,18,0,1,157,2010-05-12,Richmond Roustabouts,8,Grand Rapids Gamers,41
Dubya,Bush,17,8,0,0,77,2010-05-19,Richmond Roustabouts,9,Huntington Beach Harriers,0
Barry,Obama,7,4,0,1,67,2010-05-19,Richmond Roustabouts,9,Huntington Beach Harriers,0
Dubya,Bush,39,22,0,1,222,2010-05-26,Richmond Roustabouts,12,Mobile Misfits,41
Dubya,Bush,20,10,0,1,81,2010-06-02,Richmond Roustabouts,26,Boise Bearcats,35
Barry,Obama,10,8,0,2,121,2010-06-02,Richmond Roustabouts,26,Boise Bearcats,35
Dubya,Bush,25,11,0,1,89,2010-06-09,Richmond Roustabouts,7,Modesto Misanthropes,35
Dubya,Bush,18,7,0,1,56,2010-06-16,Richmond Roustabouts,19,Fremont Firebugs,38
Barry,Obama,6,4,0,1,62,2010-06-16,Richmond Roustabouts,19,Fremont Firebugs,38
Dubya,Bush,27,11,0,0,102,2010-06-23,Richmond Roustabouts,10,Montgomery Music,3
Barry,Obama,4,2,0,0,30,2010-06-23,Richmond Roustabouts,10,Montgomery Music,3
Dubya,Bush,36,20,0,1,203,2010-06-30,Richmond Roustabouts,8,Spokane Stallions,3
John,Adams,27,10,1,0,56,2010-03-24,Yonkers Yellowjackets,11,Shreveport Seamen,38
John,Adams,25,9,1,1,43,2010-03-31,Yonkers Yellowjackets,16,San Bernardino Stalkers,24
John,Adams,29,10,1,0,52,2010-04-07,Yonkers Yellowjackets,11,Tacoma Touchdown-Scorers,44
John,Adams,38,14,1,0,57,2010-04-14,Yonkers Yellowjackets,10,Glendale Centers,27
John,Adams,30,11,1,1,48,2010-04-21,Yonkers Yellowjackets,15,Des Moines Desperadoes,20
John,Adams,38,10,1,0,52,2010-04-28,Yonkers Yellowjackets,7,Augusta Autocrats,20
John,Adams,26,7,1,0,38,2010-05-05,Yonkers Yellowjackets,1,Grand Rapids Gamers,16
John,Adams,28,9,1,1,36,2010-05-12,Yonkers Yellowjackets,10,Huntington Beach Harriers,21
John,Adams,27,8,1,1,45,2010-05-19,Yonkers Yellowjackets,18,Mobile Misfits,28
John,Adams,33,6,1,1,30,2010-05-26,Yonkers Yellowjackets,17,Boise Bearcats,34
Zach,Taylor,3,1,0,1,10,2010-05-26,Yonkers Yellowjackets,17,Boise Bearcats,34
John,Adams,26,9,1,1,40,2010-06-02,Yonkers Yellowjackets,17,Modesto Misanthropes,3
John,Adams,21,6,1,1,30,2010-06-09,Yonkers Yellowjackets,15,Fremont Firebugs,31
Zach,Taylor,4,1,0,0,8,2010-06-09,Yonkers Yellowjackets,15,Fremont Firebugs,31
John,Adams,27,9,1,1,49,2010-06-16,Yonkers Yellowjackets,13,Montgomery Music,0
Zach,Taylor,10,5,0,0,45,2010-06-16,Yonkers Yellowjackets,13,Montgomery Music,0
John,Adams,29,11,1,1,56,2010-06-23,Yonkers Yellowjackets,7,Spokane Stallions,9
John,Adams,30,6,1,1,26,2010-06-30,Yonkers Yellowjackets,15,Richmond Roustabouts,41
William,Harrison,38,13,1,1,75,2010-03-24,Shreveport Seamen,16,San Bernardino Stalkers,44
William,Harrison,32,11,1,1,68,2010-03-31,Shreveport Seamen,9,Tacoma Touchdown-Scorers,21
William,Harrison,39,14,1,0,90,2010-04-07,Shreveport Seamen,3,Glendale Centers,17
William,Harrison,35,9,1,1,53,2010-04-14,Shreveport Seamen,19,Des Moines Desperadoes,3
William,Harrison,28,8,1,1,43,2010-04-21,Shreveport Seamen,19,Augusta Autocrats,41
Tom,Wilson,10,4,1,1,27,2010-04-21,Shreveport Seamen,19,Augusta Autocrats,41
William,Harrison,27,8,1,0,46,2010-04-28,Shreveport Seamen,1,Grand Rapids Gamers,14
William,Harrison,26,7,1,0,42,2010-05-05,Shreveport Seamen,0,Huntington Beach Harriers,17
Tom,Wilson,8,3,1,0,24,2010-05-05,Shreveport Seamen,0,Huntington Beach Harriers,17
William,Harrison,26,9,1,1,60,2010-05-12,Shreveport Seamen,14,Mobile Misfits,17
Tom,Wilson,11,4,1,1,29,2010-05-12,Shreveport Seamen,14,Mobile Misfits,17
William,Harrison,29,7,1,0,44,2010-05-19,Shreveport Seamen,4,Boise Bearcats,37
William,Harrison,22,5,1,1,29,2010-05-26,Shreveport Seamen,20,Modesto Misanthropes,13
Tom,Wilson,7,2,1,1,13,2010-05-26,Shreveport Seamen,20,Modesto Misanthropes,13
William,Harrison,22,6,1,1,29,2010-06-02,Shreveport Seamen,16,Fremont Firebugs,21
Tom,Wilson,4,1,1,0,7,2010-06-02,Shreveport Seamen,16,Fremont Firebugs,21
William,Harrison,39,10,1,0,56,2010-06-09,Shreveport Seamen,12,Montgomery Music,31
William,Harrison,39,15,1,1,93,2010-06-16,Shreveport Seamen,9,Spokane Stallions,13
William,Harrison,24,9,1,1,54,2010-06-23,Shreveport Seamen,9,Richmond Roustabouts,24
Tom,Wilson,14,6,1,0,43,2010-06-23,Shreveport Seamen,9,Richmond Roustabouts,24
William,Harrison,24,7,1,0,37,2010-06-30,Shreveport Seamen,5,Yonkers Yellowjackets,34
Tom,Wilson,8,2,1,0,12,2010-06-30,Shreveport Seamen,5,Yonkers Yellowjackets,34
James,Garfield,28,16,0,3,218,2010-03-24,San Bernardino Stalkers,25,Tacoma Touchdown-Scorers,13
James,Garfield,38,20,0,3,239,2010-03-31,San Bernardino Stalkers,29,Glendale Centers,10
James,Garfield,35,23,1,4,299,2010-04-07,San Bernardino Stalkers,35,Des Moines Desperadoes,21
James,Garfield,19,10,0,2,123,2010-04-14,San Bernardino Stalkers,31,Augusta Autocrats,41
Gerry,Ford,9,2,1,1,13,2010-04-14,San Bernardino Stalkers,31,Augusta Autocrats,41
James,Garfield,26,17,0,1,191,2010-04-21,San Bernardino Stalkers,13,Grand Rapids Gamers,38
James,Garfield,25,15,0,2,186,2010-04-28,San Bernardino Stalkers,14,Huntington Beach Harriers,41
James,Garfield,39,21,0,3,220,2010-05-05,San Bernardino Stalkers,28,Mobile Misfits,7
James,Garfield,29,18,0,3,222,2010-05-12,San Bernardino Stalkers,26,Boise Bearcats,35
Gerry,Ford,3,1,1,0,7,2010-05-12,San Bernardino Stalkers,26,Boise Bearcats,35
James,Garfield,25,16,0,1,172,2010-05-19,San Bernardino Stalkers,8,Modesto Misanthropes,35
James,Garfield,26,13,0,1,154,2010-05-26,San Bernardino Stalkers,17,Fremont Firebugs,44
James,Garfield,21,12,0,1,154,2010-06-02,San Bernardino Stalkers,14,Montgomery Music,31
Gerry,Ford,7,3,1,0,23,2010-06-02,San Bernardino Stalkers,14,Montgomery Music,31
James,Garfield,23,12,0,2,126,2010-06-09,San Bernardino Stalkers,26,Spokane Stallions,6
Gerry,Ford,8,2,1,1,15,2010-06-09,San Bernardino Stalkers,26,Spokane Stallions,6
James,Garfield,31,21,0,2,258,2010-06-16,San Bernardino Stalkers,20,Richmond Roustabouts,41
James,Garfield,35,23,0,2,256,2010-06-23,San Bernardino Stalkers,15,Yonkers Yellowjackets,31
James,Garfield,26,16,0,2,213,2010-06-30,San Bernardino Stalkers,23,Shreveport Seamen,24
Gerry,Ford,3,1,1,0,7,2010-06-30,San Bernardino Stalkers,23,Shreveport Seamen,24
Abe,Lincoln,33,22,0,3,290,2010-03-24,Tacoma Touchdown-Scorers,30,Glendale Centers,38
Abe,Lincoln,35,22,0,3,313,2010-03-31,Tacoma Touchdown-Scorers,22,Des Moines Desperadoes,14
Abe,Lincoln,31,18,0,2,250,2010-04-07,Tacoma Touchdown-Scorers,18,Augusta Autocrats,13
Abe,Lincoln,20,11,0,2,158,2010-04-14,Tacoma Touchdown-Scorers,32,Grand Rapids Gamers,10
Bill,Clinton,10,4,0,1,32,2010-04-14,Tacoma Touchdown-Scorers,32,Grand Rapids Gamers,10
Abe,Lincoln,18,13,0,1,171,2010-04-21,Tacoma Touchdown-Scorers,18,Huntington Beach Harriers,21
Bill,Clinton,8,3,0,1,27,2010-04-21,Tacoma Touchdown-Scorers,18,Huntington Beach Harriers,21
Abe,Lincoln,36,25,0,4,309,2010-04-28,Tacoma Touchdown-Scorers,28,Mobile Misfits,31
Abe,Lincoln,30,18,0,2,246,2010-05-05,Tacoma Touchdown-Scorers,14,Boise Bearcats,24
Abe,Lincoln,25,16,0,3,215,2010-05-12,Tacoma Touchdown-Scorers,28,Modesto Misanthropes,23
Bill,Clinton,1,0,0,0,0,2010-05-12,Tacoma Touchdown-Scorers,28,Modesto Misanthropes,23
Abe,Lincoln,36,23,0,3,323,2010-05-19,Tacoma Touchdown-Scorers,33,Fremont Firebugs,35
Abe,Lincoln,33,22,0,4,317,2010-05-26,Tacoma Touchdown-Scorers,37,Montgomery Music,28
Abe,Lincoln,39,24,0,3,328,2010-06-02,Tacoma Touchdown-Scorers,21,Spokane Stallions,17
Abe,Lincoln,30,17,0,2,261,2010-06-09,Tacoma Touchdown-Scorers,26,Richmond Roustabouts,28
Abe,Lincoln,26,17,0,3,257,2010-06-16,Tacoma Touchdown-Scorers,26,Yonkers Yellowjackets,34
Abe,Lincoln,28,15,0,1,170,2010-06-23,Tacoma Touchdown-Scorers,19,Shreveport Seamen,16
Bill,Clinton,4,2,0,1,18,2010-06-23,Tacoma Touchdown-Scorers,19,Shreveport Seamen,16
Abe,Lincoln,29,17,0,3,208,2010-06-30,Tacoma Touchdown-Scorers,29,San Bernardino Stalkers,0
Bill,Clinton,9,4,0,1,33,2010-06-30,Tacoma Touchdown-Scorers,29,San Bernardino Stalkers,0
James,Polk,27,13,1,1,96,2010-03-24,Glendale Centers,15,Des Moines Desperadoes,7
Rutherford,Hayes,4,1,1,0,5,2010-03-24,Glendale Centers,15,Des Moines Desperadoes,7
James,Polk,32,12,1,1,87,2010-03-31,Glendale Centers,24,Augusta Autocrats,13
Rutherford,Hayes,5,1,1,1,5,2010-03-31,Glendale Centers,24,Augusta Autocrats,13
James,Polk,28,11,1,0,78,2010-04-07,Glendale Centers,4,Grand Rapids Gamers,9
James,Polk,39,14,1,0,101,2010-04-14,Glendale Centers,1,Huntington Beach Harriers,10
James,Polk,19,9,1,0,70,2010-04-21,Glendale Centers,16,Mobile Misfits,13
Rutherford,Hayes,12,2,1,1,9,2010-04-21,Glendale Centers,16,Mobile Misfits,13
James,Polk,33,17,2,2,165,2010-04-28,Glendale Centers,25,Boise Bearcats,10
James,Polk,34,13,1,1,99,2010-05-05,Glendale Centers,14,Modesto Misanthropes,6
James,Polk,27,11,1,0,76,2010-05-12,Glendale Centers,4,Fremont Firebugs,20
James,Polk,24,12,1,1,87,2010-05-19,Glendale Centers,16,Montgomery Music,7
Rutherford,Hayes,6,1,1,0,4,2010-05-19,Glendale Centers,16,Montgomery Music,7
James,Polk,26,12,1,0,84,2010-05-26,Glendale Centers,0,Spokane Stallions,7
James,Polk,25,11,1,0,80,2010-06-02,Glendale Centers,3,Richmond Roustabouts,37
James,Polk,30,15,1,1,120,2010-06-09,Glendale Centers,11,Yonkers Yellowjackets,10
James,Polk,31,15,1,1,128,2010-06-16,Glendale Centers,15,Shreveport Seamen,3
James,Polk,30,13,1,0,125,2010-06-23,Glendale Centers,11,San Bernardino Stalkers,41
Rutherford,Hayes,1,0,1,0,0,2010-06-23,Glendale Centers,11,San Bernardino Stalkers,41
James,Polk,28,10,1,1,97,2010-06-30,Glendale Centers,8,Tacoma Touchdown-Scorers,10
John,Tyler,25,8,1,1,60,2010-03-24,Des Moines Desperadoes,16,Augusta Autocrats,6
John,Tyler,22,9,1,0,68,2010-03-31,Des Moines Desperadoes,18,Grand Rapids Gamers,27
Andrew,Johnson,12,8,0,1,138,2010-03-31,Des Moines Desperadoes,18,Grand Rapids Gamers,27
John,Tyler,28,9,1,0,69,2010-04-07,Des Moines Desperadoes,2,Huntington Beach Harriers,17
Andrew,Johnson,7,5,0,0,69,2010-04-07,Des Moines Desperadoes,2,Huntington Beach Harriers,17
John,Tyler,35,12,1,1,92,2010-04-14,Des Moines Desperadoes,13,Mobile Misfits,9
Andrew,Johnson,1,0,0,0,0,2010-04-14,Des Moines Desperadoes,13,Mobile Misfits,9
John,Tyler,27,8,1,0,45,2010-04-21,Des Moines Desperadoes,0,Boise Bearcats,21
John,Tyler,30,10,1,1,69,2010-04-28,Des Moines Desperadoes,14,Modesto Misanthropes,38
John,Tyler,23,10,1,1,65,2010-05-05,Des Moines Desperadoes,23,Fremont Firebugs,17
Andrew,Johnson,10,8,0,2,117,2010-05-05,Des Moines Desperadoes,23,Fremont Firebugs,17
John,Tyler,30,10,1,0,74,2010-05-12,Des Moines Desperadoes,1,Montgomery Music,3
John,Tyler,36,10,1,1,61,2010-05-19,Des Moines Desperadoes,7,Spokane Stallions,34
John,Tyler,23,9,1,1,58,2010-05-26,Des Moines Desperadoes,14,Richmond Roustabouts,21
Andrew,Johnson,10,7,0,1,98,2010-05-26,Des Moines Desperadoes,14,Richmond Roustabouts,21
John,Tyler,30,10,1,1,56,2010-06-02,Des Moines Desperadoes,7,Yonkers Yellowjackets,35
John,Tyler,27,11,1,1,70,2010-06-09,Des Moines Desperadoes,21,Shreveport Seamen,17
Andrew,Johnson,5,3,0,1,51,2010-06-09,Des Moines Desperadoes,21,Shreveport Seamen,17
John,Tyler,21,8,1,1,56,2010-06-16,Des Moines Desperadoes,24,San Bernardino Stalkers,6
Andrew,Johnson,5,4,0,1,66,2010-06-16,Des Moines Desperadoes,24,San Bernardino Stalkers,6
John,Tyler,18,6,1,1,39,2010-06-23,Des Moines Desperadoes,29,Tacoma Touchdown-Scorers,27
Andrew,Johnson,7,5,0,2,92,2010-06-23,Des Moines Desperadoes,29,Tacoma Touchdown-Scorers,27
John,Tyler,24,9,1,0,55,2010-06-30,Des Moines Desperadoes,20,Glendale Centers,3
Andrew,Johnson,9,6,0,2,83,2010-06-30,Des Moines Desperadoes,20,Glendale Centers,3
James,Madison,29,17,0,2,213,2010-03-24,Augusta Autocrats,27,Grand Rapids Gamers,38
Ben,Harrison,8,4,0,1,49,2010-03-24,Augusta Autocrats,27,Grand Rapids Gamers,38
James,Madison,28,17,0,3,213,2010-03-31,Augusta Autocrats,31,Huntington Beach Harriers,9
James,Madison,19,14,0,3,209,2010-04-07,Augusta Autocrats,33,Mobile Misfits,9
Ben,Harrison,5,3,0,0,41,2010-04-07,Augusta Autocrats,33,Mobile Misfits,9
James,Madison,33,23,0,4,300,2010-04-14,Augusta Autocrats,39,Boise Bearcats,37
James,Madison,31,21,0,3,253,2010-04-21,Augusta Autocrats,30,Modesto Misanthropes,23
Ben,Harrison,2,1,0,1,10,2010-04-21,Augusta Autocrats,30,Modesto Misanthropes,23
James,Madison,32,21,0,4,288,2010-04-28,Augusta Autocrats,29,Fremont Firebugs,30
James,Madison,27,16,0,2,240,2010-05-05,Augusta Autocrats,25,Montgomery Music,9
Ben,Harrison,9,5,0,0,59,2010-05-05,Augusta Autocrats,25,Montgomery Music,9
James,Madison,24,17,0,3,206,2010-05-12,Augusta Autocrats,27,Spokane Stallions,41
Ben,Harrison,4,2,0,0,22,2010-05-12,Augusta Autocrats,27,Spokane Stallions,41
James,Madison,21,13,0,3,185,2010-05-19,Augusta Autocrats,40,Richmond Roustabouts,44
Ben,Harrison,7,4,0,1,40,2010-05-19,Augusta Autocrats,40,Richmond Roustabouts,44
James,Madison,32,23,0,4,312,2010-05-26,Augusta Autocrats,38,Yonkers Yellowjackets,41
James,Madison,25,16,0,2,213,2010-06-02,Augusta Autocrats,14,Shreveport Seamen,6
James,Madison,29,19,0,3,238,2010-06-09,Augusta Autocrats,22,San Bernardino Stalkers,3
James,Madison,26,20,0,3,267,2010-06-16,Augusta Autocrats,22,Tacoma Touchdown-Scorers,23
James,Madison,30,22,0,4,365,2010-06-23,Augusta Autocrats,39,Glendale Centers,38
James,Madison,38,26,0,5,425,2010-06-30,Augusta Autocrats,44,Des Moines Desperadoes,38
Ike,Eisenhower,29,16,0,2,193,2010-03-24,Grand Rapids Gamers,25,Huntington Beach Harriers,6
James,Monroe,8,5,0,1,77,2010-03-24,Grand Rapids Gamers,25,Huntington Beach Harriers,6
Ike,Eisenhower,20,11,0,1,141,2010-03-31,Grand Rapids Gamers,22,Mobile Misfits,21
James,Monroe,10,7,0,1,100,2010-03-31,Grand Rapids Gamers,22,Mobile Misfits,21
